,Date,repo,pulls_count, issue_comment_count, issues_count, review_comments_count, comments_count, commits_count,events_count, issue_events_count, releases_count, tags_count,contributors_count,,,,,
Data for presentation:,08/25/11 12:00 AM,browserid-crypto,0,1,0,0,2,0,0,0,0,0,2,,,,,
Data for presentation:,08/25/11 12:00 AM,bedrock,0,0,0,0,2,0,0,0,0,0,2,,,,,
Data for presentation:,08/25/11 12:00 AM,kuma,0,1,0,0,0,0,0,0,0,0,1,,,,,
Data for presentation:,08/25/11 12:00 AM,gcli,0,4,0,0,24,0,0,0,0,0,4,,,,,
Data for presentation:,08/25/11 12:00 AM,mozillians,0,9,0,0,1,0,0,0,0,0,4,,,,,
Data for presentation:,08/25/11 12:00 AM,persona,0,192,0,0,0,0,0,0,0,0,15,,,,,
Data for presentation:,08/25/11 12:00 AM,mdn-tests,0,8,0,0,0,0,0,0,0,0,3,,,,,
Data for presentation:,08/25/11 12:00 AM,playdoh,0,19,5,0,0,0,0,0,0,0,6,,,,,
Data for presentation:,08/25/11 12:00 AM,rescuefox,0,7,0,0,0,0,0,0,0,0,3,,,,,
Data for presentation:,08/25/11 12:00 AM,affiliates,0,36,0,0,0,0,0,0,0,0,4,,,,,
Data for presentation:,08/25/11 12:00 AM,basket,0,0,0,0,9,0,0,0,0,0,1,,,,,
Data for presentation:,08/25/11 12:00 AM,moztrap-tests,0,13,0,0,0,0,0,0,0,0,5,,,,,
Data for presentation:,08/25/11 12:00 AM,openwebapps,0,11,0,0,0,0,0,0,0,0,5,,,,,
Data for presentation:,08/25/11 12:00 AM,kitsune,0,130,0,0,0,0,0,0,0,0,6,,,,,
Data for presentation:,08/25/11 12:00 AM,Socorro-Tests,0,22,0,0,0,0,0,0,0,0,7,,,,,
Data for presentation:,08/25/11 12:00 AM,chromeless,0,10,3,0,0,0,0,0,0,0,8,,,,,
Data for presentation:,08/25/11 12:00 AM,addon-sdk,0,27,0,0,0,0,0,0,0,0,9,,,,,
Data for presentation:,08/25/11 12:00 AM,prospector,0,21,7,0,0,0,0,0,0,0,12,,,,,
Data for presentation:,08/25/11 12:00 AM,doctorjs,0,17,4,0,0,0,0,0,0,0,9,,,,,
Data for presentation:,08/25/11 12:00 AM,browserid_addon,0,12,8,0,0,0,0,0,0,0,3,,,,,
Data for presentation:,08/25/11 12:00 AM,funfactory,0,6,0,0,1,0,0,0,0,0,4,,,,,
Data for presentation:,08/25/11 12:00 AM,zamboni-lib,0,0,0,0,5,0,0,0,0,0,5,,,,,
Data for presentation:,08/25/11 12:00 AM,django-moz-header,0,4,0,0,0,0,0,0,0,0,3,,,,,
Data for presentation:,08/25/11 12:00 AM,zamboni,0,25,0,0,136,0,0,0,0,0,12,,,,,
Data for presentation:,08/25/11 12:00 AM,pdf.js,0,338,1,0,0,0,0,0,0,0,20,,,,,
Data for presentation:,08/25/11 12:00 AM,socorro,0,23,0,0,0,0,0,0,0,0,4,,,,,
Data for presentation:,08/25/11 12:00 AM,input-tests,0,10,0,0,0,0,0,0,0,0,4,,,,,
Data for presentation:,08/25/11 12:00 AM,webdev-bootcamp,0,13,1,0,0,0,0,0,0,0,5,,,,,
Data for presentation:,09/24/11 12:00 AM,tuxedo,0,4,0,0,0,0,0,0,0,0,2,,,,,
Data for presentation:,09/24/11 12:00 AM,bleach,0,23,1,0,5,0,0,0,0,0,6,,,,,
Data for presentation:,09/24/11 12:00 AM,elasticutils,0,5,0,0,0,0,0,0,0,0,2,,,,,
Data for presentation:,09/24/11 12:00 AM,input.mozilla.org,0,7,0,0,1,0,0,0,0,0,2,,,,,
Data for presentation:,09/24/11 12:00 AM,pdf.js,0,712,2,0,2,0,0,0,0,0,40,,,,,
Data for presentation:,09/24/11 12:00 AM,amo-validator,0,3,0,0,12,0,0,0,0,0,4,,,,,
